Refcode;Metal;Density (kg/m3);ASA (m2/g);NASA (m2/g);linker SMILES;Largest Cavity Diameter;Pore Limiting Diameter;Largest Free Sphere
FICYUL01;0;1.75449;0.0;0.0;OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O;2.62775;1.18373;1.88908
FIDGAD;Zn;1.11562;0.0;132.996;C(Cn1cncc1)CCn1cncc1;4.50445;1.70599;4.45642
FIDLUC;Co;1.21979;745.982;0.0;OC(=O)c1ccc2c(c1)c1cc(ccc1n2CCCn1c2ccc(cc2c2c1ccc(c2)C(=O)O)C(=O)O)C(=O)O;7.21198;5.33625;7.1592
FIFGEI;In;0.452574;3883.76;0.0;OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O;14.77176;12.64709;14.77176
FIFNIS;Mn;1.69274;0.0;0.0;n1ccc(cc1)c1ccncc1;1.77363;1.04663;1.60089
FIFNOY;Co;1.81607;0.0;0.0;n1ccc(cc1)c1ccncc1;1.66975;0.90979;1.63205
FIFNOY01;Co;1.80503;0.0;0.0;n1ccc(cc1)c1ccncc1;1.68254;0.9155;1.4965
FIFNOY02;Co;1.83204;0.0;0.0;n1ccc(cc1)c1ccncc1;1.65959;0.89616;1.60412
FIFNUE;Co;1.26745;419.685;0.0;n1ccc(cc1)c1ccncc1;4.78254;3.95564;4.78254
FIFNUE01;Co;1.26347;420.495;0.0;n1ccc(cc1)c1ccncc1;4.76885;3.93198;4.70486
FIFPAM;Ni;1.28646;346.987;0.0;n1ccc(cc1)c1ccncc1;4.70173;3.84867;4.69951
FIFPAM01;Ni;1.28001;322.945;0.0;n1ccc(cc1)c1ccncc1;4.72304;3.78421;4.71907
FIFQOD;Cu;1.09761;0.0;571.297;n1ncn(c1)n1cnnc1;5.32637;2.2127;5.32562
FIGXAU;Er;2.65282;0.0;0.0;OC=O;1.37488;0.80565;1.37488
FIGXAW;Cd;1.64292;0.0;119.148;OC(=O)c1cncc(c1)OCOc1cncc(c1)C(=O)O;4.53281;3.04643;4.53281
FIHLOZ;Co;1.50572;0.0;146.568;OC(=O)c1cncc(c1)OCOc1cncc(c1)C(=O)O;4.58538;2.95909;4.55928
FIJCUX;Zn;1.26326;1089.15;0.0;OC(=O)c1ccc(cc1)C(=O)O;7.04925;5.83382;7.03874
FIJCUX01;Zn;1.22326;1154.95;0.0;OC(=O)c1ccc(cc1)C(=O)O;7.33828;6.14225;7.33828
FIJDAE;;1.89572;0.0;161.147;OC(=O)c1ccc(cc1)C(=O)O;4.47586;2.04847;4.45142
FIJDEI;Cd;1.80622;0.0;9.57519;OC(=O)c1cccc(c1)C(=O)O;4.05285;3.32057;3.94535
FIJFUA;Tb;1.5211;0.0;126.273;OC(=O)c1cc2ccc3c4c2c(c1)ccc4cc(c3)C(=O)O;4.72299;1.96424;4.72299
FIKSID;Zn;1.91003;0.0;0.0;OC(=O)c1ccc(cc1)c1nnn[nH]1;2.55608;0.88247;2.55071
FIKZIK;Zn;1.66068;0.0;0.0;OC(=O)c1ccc(cc1)OCCOc1ccc(cc1)C(=O)O;2.13077;1.19363;2.11
FILYEG;Co;1.13331;1062.81;77.7699;OC(=O)c1cccc(c1)C(=O)O;7.2205;4.0991;6.71969
FINFUG;Dy;0.806783;2601.16;0.0;OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O;13.45717;6.93748;13.45716
FIPKOG;Cd;1.08595;906.798;3.95173;O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C(=O)O)C(=O)O)Nc1cc(cc(c1)C(=O)O)C(=O)O;6.55849;4.8515;6.50444
FIPKOG01;Cd;1.09146;900.833;0.0;O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C(=O)O)C(=O)O)Nc1cc(cc(c1)C(=O)O)C(=O)O;6.5379;4.8064;6.53406
FIPKUM;Zn;1.04617;647.982;64.509;O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C(=O)O)C(=O)O)Nc1cc(cc(c1)C(=O)O)C(=O)O;6.35636;4.74684;6.35358
FIPPEA;Pr;2.15864;0.0;0.0;OC(=O)c1cccc(n1)C(=O)O;3.63149;1.21573;1.83838
FIPPEA01;Pr;2.16544;0.0;0.0;OC(=O)c1cccc(n1)C(=O)O;3.57141;1.12643;3.56722
FIPWUY;0;1.32324;469.396;0.0;NCCC(=O)N[C@H](C(=O)O)C[C@@H]1N=CN=C1;4.7795;4.23479;4.7795
FIPXEJ;Zn;1.35731;0.0;94.2467;NCCC(=O)N[C@H](C(=O)O)Cc1[nH]cnc1;4.44004;3.7039;4.43132
FIQCEN;;1.26108;1021.04;132.324;OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O;11.12495;5.23719;11.12495
FIQDAN;0;1.04204;1607.56;0.0;OC(=O)c1cc(cc(c1)c1ccc(cc1C(=O)O)C(=O)O)c1ccc(cc1C(=O)O)C(=O)O;6.30043;4.61675;6.30043
FIQKIC;Sr;1.69675;403.218;0.0;O=C(C(=O)Nc1cc(cc(c1)C(=O)O)C(=O)O)Nc1cc(cc(c1)C(=O)O)C(=O)O;6.21842;5.59626;6.21842
FIQYOU;Fe;1.75011;0.0;242.407;OC=O;4.74284;3.66941;4.74284
FIQYUA;Co;1.85684;0.0;202.563;OC=O;4.63298;3.62218;4.61782
FIQZAH;Zn;1.93416;0.0;204.939;OC=O;4.65627;3.68934;4.65627
FIQZEM;Cd;1.92111;0.0;0.0;OC(=O)c1ccc(c2c1cccc2)C(=O)O;2.06213;1.22659;2.05989
FIQZIP;Tb;2.58167;0.0;0.0;OC(=O)CCC(=O)O;2.87699;1.57643;2.86664
FIQZIP01;Tb;2.57649;0.0;0.0;OC(=O)CCC(=O)O;2.89293;1.57169;2.89293
FIQZOV;Gd;2.77368;0.0;0.0;OC(=O)CCC(=O)O;1.69772;1.27366;1.6951
FIRTIL;Cu;1.63345;169.766;64.9445;OC(=O)c1cc(cc(c1)C(=O)O)/N=N/N;6.5524;5.18686;6.5524
FISGOF;Cu;0.572065;3732.9;0.0;OC(=O)c1ccc(cc1)c1cc(C#Cc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)c1ccc(cc1)C(=O)O;15.83055;8.29925;15.83055
FISJEZ;Zn;1.33777;642.228;0.0;OC(=O)c1cc(n2cncc2)c(cc1n1cncc1)C(=O)O;5.08302;4.25344;5.08302
FISQEG;Co;1.48158;0.0;128.372;OC(=O)c1ccc(cc1)c1cc(cc(c1)C(=O)O)C(=O)O;4.25231;2.38244;4.23537
FISQIK;Co;1.34534;1476.62;0.0;OC(=O)c1ccc(cc1)c1cc(cc(c1)C(=O)O)C(=O)O;7.36654;5.23064;7.36654
FITCUJ;0;1.15017;934.384;0.0;NCC(=O)NCC(=O)N[C@H](C(=O)O)Cc1c[nH]cn1;6.29423;5.35293;6.2902
FITDAQ;0;1.18311;899.323;0.0;NCC(=O)NCC(=O)N[C@H](C(=O)O)Cc1c[nH]cn1;5.95909;5.05131;5.95909
FITFEW;0;1.27115;573.422;0.0;NCC(=O)NCC(=O)N[C@H](C(=O)O)C[C@@H]1C=NC=N1;5.08877;4.02347;5.07084
FITFIA;0;1.26642;587.669;0.0;NCC(=O)NCC(=O)N[C@H](C(=O)O)C[C@@H]1C=NC=N1;4.99762;4.63078;4.99762
FITFIA01;;1.26542;576.211;0.0;NCC(=O)NCC(=O)N[C@H](C(=O)O)C[C@@H]1C=NC=N1;4.96307;4.61826;4.96307
FITFOG;0;1.75565;0.0;0.0;NCC(=O)NCC(=O)N[C@H](C(=O)O)Cc1c[nH]cn1;2.93958;1.98717;2.9125
FITGAT;0;1.25072;623.008;0.0;NCC(=O)NCC(=O)N[C@H](C(=O)O)C[C@@H]1C=NC=N1;5.25251;4.29306;5.0832
FITHEW;Sc;1.64807;0.0;31.5909;[O-][n+]1ccc(cc1)c1cc[n+](cc1)[O-];4.16352;2.34393;4.16352
FITZOX;Na;1.1305;0.0;187.495;O1CCOCC1;4.78203;1.70041;4.78203
FIVRUA;0;2.30291;0.0;0.0;OC(=O)c1cc(cc(c1)c1cc(ccc1C(=O)O)C(=O)O)c1cc(ccc1C(=O)O)C(=O)O;2.3892;0.83229;2.3892
FIVTUC;Gd;1.47416;0.0;412.727;OC(=O)c1cc(cc(c1)N(=O)=O)C(=O)O;5.31798;3.68845;5.31798
FIXKUV;Co;1.29114;428.147;168.211;Nc1cc(cc(c1)C(=O)O)C(=O)O;5.48504;4.46396;5.44585
FIXLAC;Co;1.14458;1016.94;0.0;OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O;6.04964;4.4042;6.03843
FIYSAK;Al;1.13058;0.0;657.102;OC(=O)[C@@H]1CNC[C@@H](C1)C(=O)O;6.67326;3.66252;6.66751
FIZGUT;Zn;1.54267;0.0;255.721;OC(=O)c1ccc2c(c1)ccc(n2)C(=O)O;4.9691;3.24063;4.96657
FIZPOV;Zn;1.06535;1375.1;0.0;OC(=O)c1cc(cc(c1)C(=O)O)c1cc(c2cc(cc(c2)C(=O)O)C(=O)O)c2c3c1ccc1c3c(cc2)c(cc1c1cc(cc(c1)C(=O)O)C(=O)O)c1cc(cc(c1)C(=O)O)C(=O)O;5.82249;4.56769;5.81678
FIZPUB;Zn;0.847261;2306.74;0.0;OC(=O)c1cc(cc(c1)C(=O)O)c1cc(c2cc(cc(c2)C(=O)O)C(=O)O)c2c3c1ccc1c3c(cc2)c(cc1c1cc(cc(c1)C(=O)O)C(=O)O)c1cc(cc(c1)C(=O)O)C(=O)O;8.0909;4.95596;8.07649
FIZQAI;Cu;0.872416;2191.24;0.0;OC(=O)c1cc(cc(c1)C(=O)O)c1cc(c2cc(cc(c2)C(=O)O)C(=O)O)c2c3c1ccc1c3c(cc2)c(cc1c1cc(cc(c1)C(=O)O)C(=O)O)c1cc(cc(c1)C(=O)O)C(=O)O;8.04465;5.00974;8.03826
FOBDOS;Pb;2.92791;0.0;0.0;Nc1cc(cc(c1)C(=O)O)C(=O)O;2.16423;1.44645;2.01604
FOBGUA;Mn;1.87535;0.0;0.0;OC(=O)c1ccc(cc1)CNCP(=O)(O)O;2.22734;0.80253;2.22045
FOBHAH;Co;1.75175;0.0;0.0;OC(=O)c1ccc(cc1)CNCP(=O)(O)O;3.0608;1.05597;3.04516
FOBHEL;0;2.41323;0.0;0.0;OC(=O)c1ccc(cc1)CNCP(=O)(O)O;2.13466;1.0313;2.02977
FOBJOX;Eu;1.44245;0.0;281.661;OC(=O)c1ccc(c2c1cccc2)C(=O)O;4.44793;1.58136;4.31549
FOBJUD;Gd;1.45695;0.0;263.098;OC(=O)c1ccc(c2c1cccc2)C(=O)O;4.41255;1.51586;4.34413
FOBXUQ;Ba;2.05264;0.0;0.0;OC(=O)c1cccc(c1)S(O)(O)O;2.24764;0.88923;2.24302
FOCLUH;Zn;1.38423;0.0;203.483;OC(=O)c1ccc(cc1)C(n1cncc1)c1ccc(cc1)C(=O)O;5.68603;1.99756;5.67482
FOCYUT;Nd;1.45757;249.278;0.0;OC(=O)c1ccc(cc1)c1cc(c2ccc(cc2)C(=O)O)c(cc1c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O;4.56886;4.14487;4.5433
FOCZAA;Nd;1.39709;378.066;0.0;OC(=O)c1ccc(cc1)c1cc(c2ccc(cc2)C(=O)O)c(cc1c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O;4.86095;4.4492;4.8459
FODDAF;Zn;1.72467;0.0;0.0;OC(=O)CCc1ccc(cc1)C(=O)O;2.12176;1.13662;2.09923
FODGUB;Cd;3.0486;0.0;0.0;OC(=O)c1ccnc(c1)C(=O)O;2.0022;0.99857;1.9823
FODGUB01;Cd;3.01712;0.0;0.0;OC(=O)c1ccnc(c1)C(=O)O;2.03435;1.00929;2.02653
FODGUB02;Cd;3.0378;0.0;0.0;OC(=O)c1ccnc(c1)C(=O)O;2.15333;0.93116;2.14231
FODNIX;Ba;1.67557;0.0;0.0;OC(=O)c1cc(cc(c1)Oc1ccc(cc1)C(=O)O)Oc1ccc(cc1)C(=O)O;2.55995;1.58956;2.48654
FOFCOU;Ce;1.38069;391.175;0.0;OC(=O)c1ccc(cc1)c1cc(c2ccc(cc2)C(=O)O)c(cc1c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O;4.8597;4.4269;4.8597
FOFCUA;Ce;1.43341;168.619;101.048;OC(=O)c1ccc(cc1)c1cc(c2ccc(cc2)C(=O)O)c(cc1c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O;4.56431;4.15493;4.47922
FOJKIA;Mg;1.07093;968.097;0.0;OC(=O)c1ccc(c2c1cccc2)C(=O)O;5.14315;4.1527;5.13081
FOJLOH;Zn;0.845614;1653.32;0.0;OC(=O)c1ccc(cc1)OCc1c(C)c(COc2ccc(cc2)C(=O)O)c(c(c1C)COc1ccc(cc1)C(=O)O)C;7.22734;6.39546;7.20374
FOJZIP;Mn;1.57454;0.0;0.0;OC(=O)c1ccc(c(c1)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O;2.83724;1.30371;2.83724
