refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere
WAMRIN02,Nc1cc(cc(c1)C(=O)O)C(=O)O,Mg,6.77655,5.56378,6.773
WANJIF,OC(=O)c1cncc(c1)C(=O)O,Cu,2.43621,1.18571,2.25862
WANNEH,OC(=O)c1cc(NNc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O,Co,4.82332,4.15957,4.82332
WANNIL,OC(=O)c1cc(NNc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O,Co,4.72005,4.03628,4.72005
WANYAN,OC(=O)c1ccc(c(c1)S(O)(O)O)C(=O)O,Co,2.09196,0.79091,2.09028
WANYER,OC(=O)c1ccc(c(c1)S(O)(O)O)C(=O)O,Mn,2.25469,0.87933,2.23174
WANYIV,OC(=O)c1ccc(c(c1)S(O)(O)O)C(=O)O,Zn,2.08616,0.79439,2.08198
WANYOB,OC(=O)c1ccc(c(c1)S(O)(O)O)C(=O)O,Zn,2.22369,1.49296,2.20697
WAQDOJ,OC(=O)c1ccc(cc1)c1cncc(c1)c1ccc(cc1)C(=O)O,Mg,9.96767,6.18325,9.6587
WAQDOK01,OC(=O)c1cc(cc(c1)C(=O)O)N(Cc1ccc(cc1)C(=O)O)Cc1ccc(cc1)C(=O)O,Zn,3.2117,1.84956,3.21048
WAQFAX,OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O,In,9.299,8.11112,9.29685
WAQFIG,O=C(c1ccc(s1)C(=O)Nc1cc(cc(c1)C(=O)O)C(=O)O)Nc1cc(cc(c1)C(=O)O)C(=O)O,Zn,7.64754,6.02258,7.61499
WAQKEG,OC(=O)c1cc(cc(c1)C(=O)O)Oc1ccccc1C(=O)O,Mn,3.12082,1.15218,3.09725
WAQTEQ,O=C(c1c[nH]nc1)Nc1cc(cc(c1)C(=O)O)C(=O)O,Zn,11.92108,4.43062,11.92108
WARWOC,OC(=O)COc1ccc(cc1)C(=O)O,Sr,1.79933,0.90161,1.79893
WARXUL,COc1cc(cc(c1)c1cc(cc(c1)C(=O)O)C(=O)O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,8.05428,6.53035,8.05428
WASQEP,OC(=O)c1ccc(cc1)c1ccc(cc1)C(=C(c1ccc(cc1)c1ccc(cc1)C(=O)O)c1ccc(cc1)c1ccc(cc1)C(=O)O)c1ccc(cc1)c1ccc(cc1)C(=O)O,In,10.60263,4.61939,9.05769
WASQIT,OC(=O)c1ccc(cc1)c1ccc(cc1)C(=C(c1ccc(cc1)c1ccc(cc1)C(=O)O)c1ccc(cc1)c1ccc(cc1)C(=O)O)c1ccc(cc1)c1ccc(cc1)C(=O)O,In,10.8507,4.21913,9.28209
WASRAM,OC(=O)c1ccc(cc1)c1ccc(cc1)C(=C(c1ccc(cc1)c1ccc(cc1)C(=O)O)c1ccc(cc1)c1ccc(cc1)C(=O)O)c1ccc(cc1)c1ccc(cc1)C(=O)O,Zn,3.9867,1.76036,3.87828
WAVCAX,OC(=O)CCCCC(=O)O,Mn,1.87386,0.88557,1.86875
WAWGOQ,OC(=O)c1ccc(cc1)/C/1=C/2\C=CC(=N2)/C(=c/2\cc/c(=C(\C3=N/C(=C(\c4[nH]c1cc4)/c1ccc(cc1)C(=O)O)/C=C3)/c1ccc(cc1)C(=O)O)/[nH]2)/c1ccc(cc1)C(=O)O,Zn,10.45647,7.25484,10.06383
WAYKAK,OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O,Nd,5.49369,3.38547,5.49369
WAYWAW,Cc1ncc(nc1)C,Cu,1.66291,0.90724,1.61743
WAZFAH,OC(=O)c1cc(OCc2cccnc2)cc(c1)C(=O)O,Cd,2.89121,1.24404,2.88975
WAZFIP,OC(=O)c1cc(OCc2cccnc2)cc(c1)C(=O)O,Cd,1.94005,0.89423,1.61241
WAZFUB,OC(=O)c1cc(OCc2cccnc2)cc(c1)C(=O)O,Cd,2.55842,1.33357,2.55831
WEBKIX,OC(=O)c1ccncc1,Cd,6.62811,4.42448,6.58567
WEBKOD,OC(=O)c1ccncc1,Cd,6.32569,4.65654,6.25729
WEBLAQ,OC(=O)c1ccncc1,Cd,6.52107,4.50289,6.51269
WEBTOP,OC(=O)c1cc(C#Cc2cc(cc(c2)c2cc(cc(c2)C(=O)O)C(=O)O)c2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O,Cu,17.20978,6.81057,17.20978
WEBZEK,COc1cc(ccc1c1ccc(cc1OC)C(=O)O)C(=O)O,Cd,5.81833,4.16518,5.65962
WECSAZ,OC(=O)c1ccc(cc1)C(=O)O,Eu,2.76281,1.15379,2.76281
WECSAZ01,OC(=O)c1ccc(cc1)C(=O)O,Eu,2.8623,1.33201,2.8623
WEDZOW,OC(=O)c1ccc(cc1)Cn1cc(ccc1=O)C(=O)O,Pb,1.92932,1.2201,1.92932
WEFXAH,O=N(=O)c1ccc(cc1)S(O)(O)O,K,1.59002,0.77035,1.45162
WEFXEM,OS(c1cc(ccc1c1cn[nH]c1)c1cn[nH]c1)(O)O,Ni,6.73929,4.78997,6.67268
WEFXIQ,OS(c1cc(ccc1c1cn[nH]c1)c1cn[nH]c1)(O)O,Ni,6.68826,5.36003,6.66776
