Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,modularity_class,eigencentrality
VIYVIK,,14,11.911463,10,0.329418,0.371413,0.000003,9,10,0.160004
XAFFER,,34,29.282781,10,0.363801,0.415734,0.000013,9,10,0.45146
ADUROI,,13,10.83565,10,0.331046,0.372997,0.000002,9,10,0.179998
BUKMUQ,,21,17.567107,9,0.354289,0.40219,0.000011,9,10,0.265775
BUKMUQ01,,16,13.676233,10,0.34467,0.389281,0.000004,9,10,0.214899
FIJCUX01,,67,59.973267,9,0.382736,0.448869,0.000081,9,10,0.771644
MIBQAR19,,63,56.049988,9,0.399206,0.455182,0.000137,9,10,0.738967
MIBQAR20,,67,59.726465,9,0.391558,0.451736,0.000081,9,10,0.761873
NEXVET,,67,59.552249,9,0.380202,0.444696,0.000065,9,10,0.72008
UDITEJ,,14,11.643133,9,0.342614,0.384772,0.000001,9,10,0.223783
UWELIS,,14,12.066683,10,0.321257,0.359369,0.000008,9,10,0.117174
XISVUR,,49,43.438851,10,0.374302,0.434423,0.00004,9,10,0.554847
AGIREP,,52,45.617825,9,0.386538,0.443693,0.00006,9,10,0.586478
ALEJIM,,14,12.001738,10,0.328879,0.371568,0.000001,9,10,0.169742
DITXOU,,15,13.107181,10,0.323238,0.361477,0.000035,9,10,0.10239
DUNXUH,,20,17.270006,10,0.341837,0.388487,0.000005,9,10,0.254999
DUNXUH13,,19,16.192303,10,0.332873,0.37862,0.000003,9,10,0.213277
EDUSIF,,79,70.152692,9,0.398941,0.461797,0.000131,9,10,0.880196
EDUVOO,,28,23.502696,10,0.366009,0.416004,0.000015,9,10,0.348299
ESEVIH,,63,55.62664,9,0.394634,0.453325,0.000115,9,10,0.665753
FAGXOD,,52,45.314884,9,0.387159,0.444011,0.00008,9,10,0.610268
FECXUI,,37,31.300303,9,0.374534,0.428796,0.000017,9,10,0.490043
FENVOL,,14,11.995704,10,0.323151,0.363384,0.000016,9,10,0.149697
FUTZAX,,49,43.268253,10,0.374534,0.430687,0.00006,9,10,0.483147
FUYCOT,,74,65.498885,9,0.388656,0.452869,0.000089,9,10,0.815922
GUDCIT01,,13,10.765411,10,0.327095,0.368981,0.000002,9,10,0.154984
HIQNUS,,14,11.731309,10,0.332873,0.375355,0.000002,9,10,0.179293
HOLQUW,,65,56.743677,10,0.388656,0.449553,0.000224,9,10,0.637353
LAGWUN,,35,29.479189,9,0.381163,0.43178,0.000119,9,10,0.439873
LETRIN,,15,12.052637,10,0.344375,0.388407,0.000032,9,10,0.211869
LIGWUW,,59,52.246502,10,0.383466,0.443595,0.000062,9,10,0.651832
MISRUC,,51,44.867098,9,0.386662,0.442477,0.000094,9,10,0.541604
MOHLIF,,24,19.970585,10,0.352838,0.405185,0.000008,9,10,0.323432
MUWRUT,,18,15.313772,10,0.335279,0.378679,0.00001,9,10,0.196495
NANYUX02,,56,48.991699,10,0.377583,0.442609,0.000105,9,10,0.551604
NEXZEY,,19,15.538258,10,0.358608,0.40698,0.000003,9,10,0.310627
NIPWIT,,13,10.642034,9,0.337626,0.3804,0.000002,9,10,0.19028
ODUNEH,,49,42.38625,9,0.376052,0.431528,0.00004,9,10,0.519411
OHOLIH,,26,21.896522,10,0.364791,0.414934,0.000008,9,10,0.352341
OSAXIQ,,28,23.668944,9,0.361294,0.410315,0.000011,9,10,0.342311
