Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,modularity_class,eigencentrality
GAPQEU,,18,30.574377,4,0.54878,0.666667,0,29,25,0.000529
GISLOK,,20,33.346441,4,0.54878,0.681481,0,29,25,0.000586
HUCXOU,,17,28.274617,4,0.517241,0.640741,0.000001,29,25,0.000502
IDINER,,19,33.113431,4,0.529412,0.662963,0,29,25,0.00056
NAJTEA,,11,18.685468,4,0.478723,0.57037,0,29,25,0.000334
NENFEU,,20,34.706505,4,0.535714,0.674074,0,29,25,0.000585
NIGGAM,,23,39.378892,3,0.608108,0.72963,0.000002,29,25,0.000656
PIDJEU,,16,27.000081,4,0.511364,0.62963,0,29,25,0.000477
QIKZES,,17,28.871535,4,0.542169,0.655556,0,29,25,0.000498
RISXAT01,,28,48.731571,4,0.642857,0.785185,0.000002,29,25,0.000789
SAQQEH,,21,36.621571,4,0.56962,0.7,0.000001,29,25,0.000611
SEHSOO,,23,39.28624,3,0.608108,0.72963,0.000002,29,25,0.000656
UCEXIK,,28,48.695076,4,0.652174,0.788889,0.000002,29,25,0.000789
YEMSOB,,7,11.714214,5,0.424528,0.507037,0,29,25,0.000213
YEYFEP,,17,28.646173,4,0.517241,0.640741,0,29,25,0.000507
XOFGEG,,9,14.782658,6,0.390663,0.444969,0,20,14,0.000449
AFUFAL,,25,42.920459,5,0.463636,0.561601,0.000001,30,26,0.000764
ATIJUI,,40,68.439312,5,0.517766,0.648203,0.000007,30,26,0.001177
BETFEN,,7,11.542387,6,0.359155,0.419935,0,30,26,0.000221
DOJXOQ,,35,57.790475,5,0.50495,0.623693,0.00001,30,26,0.001037
ELAPIQ,,24,40.167942,5,0.451327,0.555882,0.000002,30,26,0.000719
ELIKAM,,19,31.657978,6,0.406375,0.505719,0.000001,30,26,0.000581
FASHAK,,23,38.145616,6,0.435897,0.548203,0.000002,30,26,0.00069
FOKYEL,,23,38.463845,5,0.461538,0.555065,0.000001,30,26,0.000705
GARLET,,8,13.141838,6,0.362989,0.428105,0,30,26,0.00025
HICZEA,,20,32.923585,5,0.432203,0.526471,0.000002,30,26,0.000592
IBEXUJ,,25,43.294768,5,0.459459,0.561601,0.000004,30,26,0.00075
INECOV,,24,41.659403,5,0.457399,0.556699,0.000003,30,26,0.00072
IYAHEX,,15,24.571899,5,0.409639,0.487255,0.000002,30,26,0.000456
LIXCOM,,13,21.776085,6,0.373626,0.455065,0,30,26,0.000398
MEQKOL,,39,66.822921,5,0.512563,0.641667,0.000005,30,26,0.001152
RAVCOI,,22,36.045629,5,0.445415,0.544444,0.000003,30,26,0.000651
